locId,locName,speciesCode
L6349760,Belimbing,wawduc1
L6349760,Belimbing,whwduc1
L6349760,Belimbing,redjun
L6349760,Belimbing,spodov
L6349760,Belimbing,emedov2
L6349760,Belimbing,zebdov
L6349760,Belimbing,ligpig1
L6349760,Belimbing,pinpig3
L6349760,Belimbing,piipig1
L6349760,Belimbing,grecou1
L6349760,Belimbing,lescou1
L6349760,Belimbing,rafmal1
L6349760,Belimbing,chbmal1
L6349760,Belimbing,asikoe2
L6349760,Belimbing,placuc1
L6349760,Belimbing,asidrc3
L6349760,Belimbing,indcuc1
L6349760,Belimbing,malnig1
L6349760,Belimbing,fotswi
L6349760,Belimbing,houswi1
L6349760,Belimbing,gyrtre1
L6349760,Belimbing,whbwat1
L6349760,Belimbing,pagplo
L6349760,Belimbing,grsplo
L6349760,Belimbing,kenplo1
L6349760,Belimbing,whimbr5
L6349760,Belimbing,eurcur
L6349760,Belimbing,bktgod
L6349760,Belimbing,tersan
L6349760,Belimbing,comsan
L6349760,Belimbing,comred1
L6349760,Belimbing,rudtur
L6349760,Belimbing,ruff
L6349760,Belimbing,brbsan
L6349760,Belimbing,sander
L6349760,Belimbing,barbut1
L6349760,Belimbing,comter
L6349760,Belimbing,grcter1
L6349760,Belimbing,stosto1
L6349760,Belimbing,lesadj1
L6349760,Belimbing,pacreh1
L6349760,Belimbing,strher1
L6349760,Belimbing,purher1
L6349760,Belimbing,crseag1
L6349760,Belimbing,blyhae1
L6349760,Belimbing,wbseag1
L6349760,Belimbing,gyhfie1
L6349760,Belimbing,diatro1
L6349760,Belimbing,blahor1
L6349760,Belimbing,orphor1
L6349760,Belimbing,btbeat2
L6349760,Belimbing,blekin1
L6349760,Belimbing,rubkin1
L6349760,Belimbing,bankin1
L6349760,Belimbing,whtkin2
L6349760,Belimbing,sackin1
L6349760,Belimbing,colkin1
L6349760,Belimbing,soobar2
L6349760,Belimbing,buebar2
L6349760,Belimbing,gowbar2
L6349760,Belimbing,rufpic1
L6349760,Belimbing,gabwoo3
L6349760,Belimbing,orbwoo1
L6349760,Belimbing,bunwoo1
L6349760,Belimbing,burwoo1
L6349760,Belimbing,banwoo2
L6349760,Belimbing,chtwoo1
L6349760,Belimbing,whbwoo2
L6349760,Belimbing,bltfal1
L6349760,Belimbing,bchpar1
L6349760,Belimbing,barbro1
L6349760,Belimbing,banbro1
L6349760,Belimbing,baybro1
L6349760,Belimbing,banpit3
L6349760,Belimbing,wehpit1
L6349760,Belimbing,larwoo1
L6349760,Belimbing,bwfshr2
L6349760,Belimbing,grtdro1
L6349760,Belimbing,tigshr1
L6349760,Belimbing,ashtai1
L6349760,Belimbing,ruttai1
L6349760,Belimbing,bawpri1
L6349760,Belimbing,yebpri1
L6349760,Belimbing,zitcis1
L6349760,Belimbing,gohcis1
L6349760,Belimbing,pacswa1
L6349760,Belimbing,strbul1
L6349760,Belimbing,crvbul1
L6349760,Belimbing,olwbul1
L6349760,Belimbing,reebul1
L6349760,Belimbing,yevbul1
L6349760,Belimbing,sttbab1
L6349760,Belimbing,fbtbab1
L6349760,Belimbing,chwbab1
L6349760,Belimbing,moubab1
L6349760,Belimbing,whcbab1
L6349760,Belimbing,asgsta1
L6349760,Belimbing,dausta1
L6349760,Belimbing,asbfly
L6349760,Belimbing,thbflo1
L6349760,Belimbing,scbflo1
L6349760,Belimbing,plasun1
L6349760,Belimbing,pltsun2
L6349760,Belimbing,olbsun4
L6349760,Belimbing,eacsun1
L6349760,Belimbing,litspi1
L6349760,Belimbing,nutman
L6349760,Belimbing,javmun1
L6349760,Belimbing,whhmun1
L6349760,Belimbing,eutspa
L6349760,Belimbing,oripip1
L5865707,"Bukit Barisan Selatan, Bengkunat",whwduc1
L5865707,"Bukit Barisan Selatan, Bengkunat",crepar1
L5865707,"Bukit Barisan Selatan, Bengkunat",grearg1
L5865707,"Bukit Barisan Selatan, Bengkunat",spodov
L5865707,"Bukit Barisan Selatan, Bengkunat",licdov1
L5865707,"Bukit Barisan Selatan, Bengkunat",emedov2
L5865707,"Bukit Barisan Selatan, Bengkunat",ligpig1
L5865707,"Bukit Barisan Selatan, Bengkunat",pinpig3
L5865707,"Bukit Barisan Selatan, Bengkunat",thbpig1
L5865707,"Bukit Barisan Selatan, Bengkunat",lagpig1
L5865707,"Bukit Barisan Selatan, Bengkunat",gripig1
L5865707,"Bukit Barisan Selatan, Bengkunat",moipig1
L5865707,"Bukit Barisan Selatan, Bengkunat",sugcuc1
L5865707,"Bukit Barisan Selatan, Bengkunat",grecou1
L5865707,"Bukit Barisan Selatan, Bengkunat",lescou1
L5865707,"Bukit Barisan Selatan, Bengkunat",rafmal1
L5865707,"Bukit Barisan Selatan, Bengkunat",rebmal2
L5865707,"Bukit Barisan Selatan, Bengkunat",chbmal2
L5865707,"Bukit Barisan Selatan, Bengkunat",blbmal1
L5865707,"Bukit Barisan Selatan, Bengkunat",chwcuc1
L5865707,"Bukit Barisan Selatan, Bengkunat",babcuc2
L5865707,"Bukit Barisan Selatan, Bengkunat",placuc1
L5865707,"Bukit Barisan Selatan, Bengkunat",brucuc2
L5865707,"Bukit Barisan Selatan, Bengkunat",asidrc3
L5865707,"Bukit Barisan Selatan, Bengkunat",larhac2
L5865707,"Bukit Barisan Selatan, Bengkunat",indcuc1
L5865707,"Bukit Barisan Selatan, Bengkunat",sunfro1
L5865707,"Bukit Barisan Selatan, Bengkunat",sirnee1
L5865707,"Bukit Barisan Selatan, Bengkunat",pltswi1
L5865707,"Bukit Barisan Selatan, Bengkunat",blnswi1
L5865707,"Bukit Barisan Selatan, Bengkunat",y00731
L5865707,"Bukit Barisan Selatan, Bengkunat",houswi1
L5865707,"Bukit Barisan Selatan, Bengkunat",gyrtre1
L5865707,"Bukit Barisan Selatan, Bengkunat",whitre1
L5865707,"Bukit Barisan Selatan, Bengkunat",relcra1
L5865707,"Bukit Barisan Selatan, Bengkunat",woosan
L5865707,"Bukit Barisan Selatan, Bengkunat",stosto1
L5865707,"Bukit Barisan Selatan, Bengkunat",blabit1
L5865707,"Bukit Barisan Selatan, Bengkunat",yelbit
L5865707,"Bukit Barisan Selatan, Bengkunat",strher1
L5865707,"Bukit Barisan Selatan, Bengkunat",orihob2
L5865707,"Bukit Barisan Selatan, Bengkunat",crseag1
L5865707,"Bukit Barisan Selatan, Bengkunat",walhae1
L5865707,"Bukit Barisan Selatan, Bengkunat",blyhae1
L5865707,"Bukit Barisan Selatan, Bengkunat",y00839
L5865707,"Bukit Barisan Selatan, Bengkunat",bathaw1
L5865707,"Bukit Barisan Selatan, Bengkunat",gyhfie1
L5865707,"Bukit Barisan Selatan, Bengkunat",brnhao1
L5865707,"Bukit Barisan Selatan, Bengkunat",diatro1
L5865707,"Bukit Barisan Selatan, Bengkunat",scrtro1
L5865707,"Bukit Barisan Selatan, Bengkunat",whchor2
L5865707,"Bukit Barisan Selatan, Bengkunat",rhihor1
L5865707,"Bukit Barisan Selatan, Bengkunat",buchor1
L5865707,"Bukit Barisan Selatan, Bengkunat",blahor1
L5865707,"Bukit Barisan Selatan, Bengkunat",wrehor1
L5865707,"Bukit Barisan Selatan, Bengkunat",rbbeat1
L5865707,"Bukit Barisan Selatan, Bengkunat",btbeat2
L5865707,"Bukit Barisan Selatan, Bengkunat",bubkin1
L5865707,"Bukit Barisan Selatan, Bengkunat",rubkin1
L5865707,"Bukit Barisan Selatan, Bengkunat",bankin1
L5865707,"Bukit Barisan Selatan, Bengkunat",stbkin1
L5865707,"Bukit Barisan Selatan, Bengkunat",whtkin2
L5865707,"Bukit Barisan Selatan, Bengkunat",colkin1
L5865707,"Bukit Barisan Selatan, Bengkunat",ruckin1
L5865707,"Bukit Barisan Selatan, Bengkunat",dollar1
L5865707,"Bukit Barisan Selatan, Bengkunat",soobar2
L5865707,"Bukit Barisan Selatan, Bengkunat",buebar2
L5865707,"Bukit Barisan Selatan, Bengkunat",recbar1
L5865707,"Bukit Barisan Selatan, Bengkunat",retbar1
L5865707,"Bukit Barisan Selatan, Bengkunat",gowbar2
L5865707,"Bukit Barisan Selatan, Bengkunat",blbbar5
L5865707,"Bukit Barisan Selatan, Bengkunat",malhon1
L5865707,"Bukit Barisan Selatan, Bengkunat",rufpic1
L5865707,"Bukit Barisan Selatan, Bengkunat",bncwoo2
L5865707,"Bukit Barisan Selatan, Bengkunat",marwoo1
L5865707,"Bukit Barisan Selatan, Bengkunat",orbwoo1
L5865707,"Bukit Barisan Selatan, Bengkunat",rufwoo2
L5865707,"Bukit Barisan Selatan, Bengkunat",bunwoo1
L5865707,"Bukit Barisan Selatan, Bengkunat",comfla1
L5865707,"Bukit Barisan Selatan, Bengkunat",crwwoo1
L5865707,"Bukit Barisan Selatan, Bengkunat",banwoo2
L5865707,"Bukit Barisan Selatan, Bengkunat",chtwoo1
L5865707,"Bukit Barisan Selatan, Bengkunat",whbwoo2
L5865707,"Bukit Barisan Selatan, Bengkunat",bltfal1
L5865707,"Bukit Barisan Selatan, Bengkunat",blrpar1
L5865707,"Bukit Barisan Selatan, Bengkunat",lotpar2
L5865707,"Bukit Barisan Selatan, Bengkunat",bchpar1
L5865707,"Bukit Barisan Selatan, Bengkunat",grebro1
L5865707,"Bukit Barisan Selatan, Bengkunat",dusbro1
L5865707,"Bukit Barisan Selatan, Bengkunat",barbro1
L5865707,"Bukit Barisan Selatan, Bengkunat",banbro1
L5865707,"Bukit Barisan Selatan, Bengkunat",baybro1
L5865707,"Bukit Barisan Selatan, Bengkunat",giapit1
L5865707,"Bukit Barisan Selatan, Bengkunat",banpit3
L5865707,"Bukit Barisan Selatan, Bengkunat",wehpit1
L5865707,"Bukit Barisan Selatan, Bengkunat",fiemin1
L5865707,"Bukit Barisan Selatan, Bengkunat",scamin1
L5865707,"Bukit Barisan Selatan, Bengkunat",lescus1
L5865707,"Bukit Barisan Selatan, Bengkunat",datori1
L5865707,"Bukit Barisan Selatan, Bengkunat",whbwoo4
L5865707,"Bukit Barisan Selatan, Bengkunat",larwoo1
L5865707,"Bukit Barisan Selatan, Bengkunat",bwfshr2
L5865707,"Bukit Barisan Selatan, Bengkunat",ruwphi2
L5865707,"Bukit Barisan Selatan, Bengkunat",greior2
L5865707,"Bukit Barisan Selatan, Bengkunat",brodro1
L5865707,"Bukit Barisan Selatan, Bengkunat",sumdro1
L5865707,"Bukit Barisan Selatan, Bengkunat",grtdro1
L5865707,"Bukit Barisan Selatan, Bengkunat",blnmon1
L5865707,"Bukit Barisan Selatan, Bengkunat",blypaf1
L5865707,"Bukit Barisan Selatan, Bengkunat",tigshr1
L5865707,"Bukit Barisan Selatan, Bengkunat",brnshr
L5865707,"Bukit Barisan Selatan, Bengkunat",blkmag1
L5865707,"Bukit Barisan Selatan, Bengkunat",slbcro2
L5865707,"Bukit Barisan Selatan, Bengkunat",marbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",dantai1
L5865707,"Bukit Barisan Selatan, Bengkunat",ashtai1
L5865707,"Bukit Barisan Selatan, Bengkunat",ruttai1
L5865707,"Bukit Barisan Selatan, Bengkunat",bawpri1
L5865707,"Bukit Barisan Selatan, Bengkunat",habbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",pubbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",blhbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",spebul1
L5865707,"Bukit Barisan Selatan, Bengkunat",gybbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",scbbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",crvbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",olwbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",reebul1
L5865707,"Bukit Barisan Selatan, Bengkunat",yevbul1
L5865707,"Bukit Barisan Selatan, Bengkunat",arcwar1
L5865707,"Bukit Barisan Selatan, Bengkunat",sttbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",fbtbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",chwbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",chbscb2
L5865707,"Bukit Barisan Selatan, Bengkunat",bltbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",chrbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",socbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",sccbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",moubab1
L5865707,"Bukit Barisan Selatan, Bengkunat",bkcbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",shtbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",horbab2
L5865707,"Bukit Barisan Selatan, Bengkunat",blunut1
L5865707,"Bukit Barisan Selatan, Bengkunat",whvmyn
L5865707,"Bukit Barisan Selatan, Bengkunat",dasfly
L5865707,"Bukit Barisan Selatan, Bengkunat",asbfly
L5865707,"Bukit Barisan Selatan, Bengkunat",verfly4
L5865707,"Bukit Barisan Selatan, Bengkunat",whcfor1
L5865707,"Bukit Barisan Selatan, Bengkunat",chnfor1
L5865707,"Bukit Barisan Selatan, Bengkunat",korfly1
L5865707,"Bukit Barisan Selatan, Bengkunat",yebflo2
L5865707,"Bukit Barisan Selatan, Bengkunat",crbflo1
L5865707,"Bukit Barisan Selatan, Bengkunat",scbflo1
L5865707,"Bukit Barisan Selatan, Bengkunat",schflo1
L5865707,"Bukit Barisan Selatan, Bengkunat",rucsun2
L5865707,"Bukit Barisan Selatan, Bengkunat",plasun1
L5865707,"Bukit Barisan Selatan, Bengkunat",olbsun4
L5865707,"Bukit Barisan Selatan, Bengkunat",punsun1
L5865707,"Bukit Barisan Selatan, Bengkunat",lobspi1
L5865707,"Bukit Barisan Selatan, Bengkunat",litspi1
L5865707,"Bukit Barisan Selatan, Bengkunat",spespi2
L5865707,"Bukit Barisan Selatan, Bengkunat",nutman
L5865707,"Bukit Barisan Selatan, Bengkunat",whhmun1
L5865707,"Bukit Barisan Selatan, Bengkunat",eutspa
L6349792,"Bukit Barisan Selatan, Forest Trail",crepar1
L6349792,"Bukit Barisan Selatan, Forest Trail",crefir3
L6349792,"Bukit Barisan Selatan, Forest Trail",grearg1
L6349792,"Bukit Barisan Selatan, Forest Trail",redjun
L6349792,"Bukit Barisan Selatan, Forest Trail",spodov
L6349792,"Bukit Barisan Selatan, Forest Trail",emedov2
